index;mid;display_name;display_name_ru
0;/m/09x0r;Speech;Речь
1;/m/0ytgt;"Child speech, kid speaking";"Детская речь, говорящий ребенок"
2;/m/01h8n0;Conversation;Разговор
3;/m/02qldy;"Narration, monologue";"Повествование, монолог"
4;/m/0261r1;Babbling;Бормочущий
5;/m/0brhx;Speech synthesizer;Синтезатор речи
6;/m/07p6fty;Shout;Кричать
7;/m/07q4ntr;Bellow;Рев
8;/m/07rwj3x;Whoop;Ух ты
9;/m/07sr1lc;Yell;Кричать
10;/t/dd00135;Children shouting;Дети кричат
11;/m/03qc9zr;Screaming;Кричащий
12;/m/02rtxlg;Whispering;Шепчущий
13;/m/01j3sz;aughter;Смех
14;/t/dd00001;Baby laughter;Детский смех
15;/m/07r660_;Giggle;Хихиканье
16;/m/07s04w4;Snicker;Хихиканье
17;/m/07sq110;Belly laugh;Смех в животе
18;/m/07rgt08;"Chuckle, chortle";"Смешок, хихиканье"
19;/m/0463cq4;"Crying, sobbing";"Плачущий, рыдающий"
20;/t/dd00002;"Baby cry, infant cry";"Детский плач, детский плач"
21;/m/07qz6j3;Whimper;Хныканье
22;/m/07qw_06;"Wail, moan";"Вопль, стон"
23;/m/07plz5l;Sigh;Вздох
24;/m/015lz1;Singing;Поющий
25;/m/0l14jd;Choir;Хор
26;/m/01swy6;Yodeling;Пение Йодлем
27;/m/02bk07;Chant;Песнопение
28;/m/01c194;Mantra;Мантра
29;/t/dd00005;Child singing;Детское пение
30;/t/dd00006;Synthetic singing;Синтетическое пение
31;/m/06bxc;Rapping;Стучащий
32;/m/02fxyj;Humming;Напевающий
33;/m/07s2xch;Groan;Стон
34;/m/07r4k75;Grunt;Ворчание
35;/m/01w250;Whistling;Свистящий
36;/m/0lyf6;Breathing;Дыхание
37;/m/07mzm6;Wheeze;Хрипеть
38;/m/01d3sd;Snoring;Храпящий
39;/m/07s0dtb;Gasp;Задыхающийся
40;/m/07pyy8b;Pant;Тяжело Дышать
41;/m/07q0yl5;Snort;Фырканье
42;/m/01b_21;Cough;Кашель
43;/m/0dl9sf8;Throat clearing;Прочищение горла
44;/m/01hsr_;Sneeze;Чихать
45;/m/07ppn3j;Sniff;Нюхать
46;/m/06h7j;Run;Беги
47;/m/07qv_x_;Shuffle;Перемешать
48;/m/07pbtc8;"Walk, footsteps";"Ходьба, шаги"
49;/m/03cczk;"Chewing, mastication";Пережевывание
50;/m/07pdhp0;Biting;Кусающийся
51;/m/0939n_;Gargling;Полоскание горла
52;/m/01g90h;Stomach rumble;Урчание в животе
53;/m/03q5_w;"Burping, eructation";"Отрыжка, отрыжка"
54;/m/02p3nc;Hiccup;Икота
55;/m/02_nn;Fart;Пердеть
56;/m/0k65p;Hands;Руки
57;/m/025_jnm;Finger snapping;Щелчок пальцами
58;/m/0l15bq;Clapping;Хлопки в ладоши
59;/m/01jg02;"Heart sounds, heartbeat";"Звуки сердца, сердцебиение"
60;/m/01jg1z;Heart murmur;Шум в сердце
61;/m/053hz1;Cheering;Аплодисменты
62;/m/028ght;Applause;Аплодисменты
63;/m/07rkbfh;Chatter;Болтовня
64;/m/03qtwd;Crowd;Толпа
65;/m/07qfr4h;"Hubbub, speech noise, speech babble";"Гомон, речевой шум, речевой лепет"
66;/t/dd00013;Children playing;"Дети, играющие"
67;/m/0jbk;Animal;Животное
68;/m/068hy;"Domestic animals, pets";"Домашние животные, питомцы"
69;/m/0bt9lr;Dog;Собака
70;/m/05tny_;Bark;Лай
71;/m/07r_k2n;Yip;Ип
72;/m/07qf0zm;Howl;Вой
73;/m/07rc7d9;Bow-wow;Боу-вау
74;/m/0ghcn6;Growling;Рычащий
75;/t/dd00136;Whimper (dog);Скулеж (собаки)
76;/m/01yrx;Cat;Кошка
77;/m/02yds9;Purr;Мурлыканье
78;/m/07qrkrw;Meow;Мяу
79;/m/07rjwbb;Hiss;Шипение
80;/m/07r81j2;Caterwaul;Катервол
81;/m/0ch8v;"Livestock, farm animals, working animals";"Домашний скот, сельскохозяйственные животные, рабочие животные"
82;/m/03k3r;Horse;Лошадь
83;/m/07rv9rh;Clip-clop;Щелчок-щелчок
84;/m/07q5rw0;"Neigh, whinny";"Ржание, ржание"
85;/m/01xq0k1;"Cattle, bovinae";"Крупный рогатый скот, bovinae"
86;/m/07rpkh9;Moo;Му
87;/m/0239kh;Cowbell;Коровий Колокольчик
88;/m/068zj;Pig;Свинья
89;/t/dd00018;Oink;Хрюк
90;/m/03fwl;Goat;Козел
91;/m/07q0h5t;Bleat;Блеять
92;/m/07bgp;Sheep;Овцы
93;/m/025rv6n;Fowl;Домашняя птица
94;/m/09b5t;"Chicken, rooster";"Курица, петух"
95;/m/07st89h;Cluck;Кудахчущий
96;/m/07qn5dc;"Crowing, cock-a-doodle-doo";Кукарекающий петух-а-дудл-ду
97;/m/01rd7k;Turkey;Турция
98;/m/07svc2k;Gobble;Проглотить
99;/m/09ddx;Duck;Утка
100;/m/07qdb04;Quack;Шарлатан
101;/m/0dbvp;Goose;Гусь
102;/m/07qwf61;Honk;Сигналить
103;/m/01280g;Wild animals;Дикие животные
104;/m/0cdnk;"Roaring cats (lions, tigers)";"Рычащие кошки (львы, тигры)"
105;/m/04cvmfc;Roar;Рев
106;/m/015p6;Bird;Птица
107;/m/020bb7;"Bird vocalization, bird call, bird song";"Птичий вокализм, птичий зов, птичья песня"
108;/m/07pggtn;"Chirp, tweet";"Чирикать, чирикать"
109;/m/07sx8x_;Squawk;Пронзительный крик
110;/m/0h0rv;"Pigeon, dove";"Голубь, голубка"
111;/m/07r_25d;Coo;Воркующий
112;/m/04s8yn;Crow;Ворона
113;/m/07r5c2p;Caw;Карк
114;/m/09d5_;Owl;Сова
115;/m/07r_80w;Hoot;Улюлюканье
116;/m/05_wcq;"Bird flight, flapping wings";"Полет птицы, хлопанье крыльев"
117;/m/01z5f;"Canidae, dogs, wolves";"Псовые, собаки, волки"
118;/m/06hps;"Rodents, rats, mice";"Грызуны, крысы, мыши"
119;/m/04rmv;Mouse;Мышь
120;/m/07r4gkf;Patter;Скороговорка
121;/m/03vt0;Insect;Насекомое
122;/m/09xqv;Cricket;Крикет
123;/m/09f96;Mosquito;Комар
124;/m/0h2mp;"Fly, housefly";"Лети, домашняя муха"
125;/m/07pjwq1;Buzz;Жужжание
126;/m/01h3n;"Bee, wasp, etc.";"Пчела, оса и т.д."
127;/m/09ld4;Frog;Лягушка
128;/m/07st88b;Croak;Квакать
129;/m/078jl;Snake;Змея
130;/m/07qn4z3;Rattle;Погремушка
131;/m/032n05;Whale vocalization;Вокализация китов
132;/m/04rlf;Music;Музыка
133;/m/04szw;Musical instrument;Музыкальный инструмент
134;/m/0fx80y;Plucked string instrument;Щипковый струнный инструмент
135;/m/0342h;Guitar;Гитара
136;/m/02sgy;Electric guitar;Электрогитара
137;/m/018vs;Bass guitar;Бас - гитара
138;/m/042v_gx;Acoustic guitar;Акустическая гитара
139;/m/06w87;"Steel guitar, slide guitar";"Стальная гитара, слайд-гитара"
140;/m/01glhc;Tapping (guitar technique);Постукивание (гитарная техника)
141;/m/07s0s5r;Strum;Бренчать
142;/m/018j2;Banjo;Банджо
143;/m/0jtg0;Sitar;Ситар
144;/m/04rzd;Mandolin;Мандолина
145;/m/01bns_;Zither;Цитра
146;/m/07xzm;Ukulele;Гавайская гитара
147;/m/05148p4;Keyboard (musical);Клавишные (музыкальные)
148;/m/05r5c;Piano;Пианино
149;/m/01s0ps;Electric piano;Электрическое пианино
150;/m/013y1f;Organ;Орган
151;/m/03xq_f;Electronic organ;Электронный орган
152;/m/03gvt;Hammond organ;Орган Хаммонда
153;/m/0l14qv;Synthesizer;Синтезатор
154;/m/01v1d8;Sampler;Пробоотборник
155;/m/03q5t;Harpsichord;Клавесин
156;/m/0l14md;Percussion;Перкуссия
157;/m/02hnl;Drum kit;Ударная установка
158;/m/0cfdd;Drum machine;Драм - машина
159;/m/026t6;Drum;Барабан
160;/m/06rvn;Snare drum;Малый барабан
161;/m/03t3fj;Rimshot;Выстрел в Римшот
162;/m/02k_mr;Drum roll;Барабанная дробь
163;/m/0bm02;Bass drum;Басовый барабан
164;/m/011k_j;Timpani;Литавры
165;/m/01p970;Tabla;Tabla
166;/m/01qbl;Cymbal;Тарелка
167;/m/03qtq;Hi-hat;Хай-хэт
168;/m/01sm1g;Wood block;Деревянный блок
169;/m/07brj;Tambourine;Бубен
170;/m/05r5wn;Rattle (instrument);Погремушка (инструмент)
171;/m/0xzly;Maraca;Марака
172;/m/0mbct;Gong;Гонг
173;/m/016622;Tubular bells;Трубчатые колокола
174;/m/0j45pbj;Mallet percussion;Ударный молоток
175;/m/0dwsp;"Marimba, xylophone";"Маримба, ксилофон"
176;/m/0dwtp;Glockenspiel;Глокеншпиль
177;/m/0dwt5;Vibraphone;Вибрафон
178;/m/0l156b;Steelpan;Стальной Поддон
179;/m/05pd6;Orchestra;Оркестр
180;/m/01kcd;Brass instrument;Духовой инструмент
181;/m/0319l;French horn;Французский рожок
182;/m/07gql;Trumpet;Труба
183;/m/07c6l;Trombone;Тромбон
184;/m/0l14_3;Bowed string instrument;Смычковый струнный инструмент
185;/m/02qmj0d;String section;Строковый раздел
186;/m/07y_7;"Violin, fiddle";"Скрипка, скрипачка"
187;/m/0d8_n;Pizzicato;Пиццикато
188;/m/01xqw;Cello;Виолончель
189;/m/02fsn;Double bass;Контрабас
190;/m/085jw;"Wind instrument, woodwind instrument";"Духовой инструмент, деревянный духовой инструмент"
191;/m/0l14j_;Flute;Флейта
192;/m/06ncr;Saxophone;Саксофон
193;/m/01wy6;Clarinet;Кларнет
194;/m/03m5k;Harp;Арфа
195;/m/0395lw;Bell;Колокол
196;/m/03w41f;Church bell;Церковный колокол
197;/m/027m70_;Jingle bell;Звенящий колокольчик
198;/m/0gy1t2s;Bicycle bell;Велосипедный звонок
199;/m/07n_g;Tuning fork;Камертон
200;/m/0f8s22;Chime;Перезвон
201;/m/026fgl;Wind chime;Перезвон ветра
202;/m/0150b9;Change ringing (campanology);Смена звона (кампанология)
203;/m/03qjg;Harmonica;Губная гармошка
204;/m/0mkg;Accordion;Аккордеон
205;/m/0192l;Bagpipes;Волынки
206;/m/02bxd;Didgeridoo;Диджериду
207;/m/0l14l2;Shofar;Шофар
208;/m/07kc_;Theremin;Терменвокс
209;/m/0l14t7;Singing bowl;Поющая чаша
210;/m/01hgjl;Scratching (performance technique);Скретчинг (техника исполнения)
211;/m/064t9;Pop music;Поп - музыка
212;/m/0glt670;Hip hop music;Музыка в стиле хип - хоп
213;/m/02cz_7;Beatboxing;Битбоксинг
214;/m/06by7;Rock music;Рок - музыка
215;/m/03lty;Heavy metal;Тяжелый металл
216;/m/05r6t;Punk rock;Панк - рок
217;/m/0dls3;Grunge;Гранж
218;/m/0dl5d;Progressive rock;Прогрессивный рок
219;/m/07sbbz2;Rock and roll;Рок - н - ролл
220;/m/05w3f;Psychedelic rock;Психоделический рок
221;/m/06j6l;Rhythm and blues;Ритм - энд - блюз
222;/m/0gywn;Soul music;Музыка для души
223;/m/06cqb;Reggae;Регги
224;/m/01lyv;Country;Страна
225;/m/015y_n;Swing music;Свинг - музыка
226;/m/0gg8l;Bluegrass;Мятлик
227;/m/02x8m;Funk;Фанк
228;/m/02w4v;Folk music;Народная музыка
229;/m/06j64v;Middle Eastern music;Ближневосточная музыка
230;/m/03_d0;Jazz;Джаз
231;/m/026z9;Disco;Дискотека
